C1	C2	C3	C4	path	path
A118_1_40834	A500_1_38867	45	45	sequences/A118_1_40834.fasta	sequences/A500_1_38867.fasta
A500_1_38867	A118_1_40834	48	48	sequences/A500_1_38867.fasta	sequences/A118_1_40834.fasta
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56	sequences/A500_1_38867.fasta	sequences/NC_003210.1_2361897_2402366_A118.fasta
A511_1_137619	P100_1_131384	95	93	sequences/A511_1_137619.fasta	sequences/P100_1_131384.fasta
AE005674.2_3806404_3831722	CP026799.1_4231581_4255351	96	89	sequences/AE005674.2_3806404_3831722.fna	sequences/CP026799.1_4231581_4255351.fna
BcenGI1_100361_125265	phiK96243_145390_180728	35	35	sequences/BcenGI1_100361_125265.fasta	sequences/phiK96243_145390_180728.fasta
CP001969_1124233_1185478	NC_002695.1_1370456_1456704_SpLE1	30	30	sequences/CP001969_1124233_1185478.fna	sequences/NC_002695.1_1370456_1456704_SpLE1.fasta
CP001969_1284563_1331280	CP001969_1432810_1479128	40	40	sequences/CP001969_1284563_1331280.fna	sequences/CP001969_1432810_1479128.fna
CP001969_1284563_1331280	CP001969_558406_615433	31	31	sequences/CP001969_1284563_1331280.fna	sequences/CP001969_558406_615433.fna
CP001969_1284563_1331280	NC_002655.1_1849488_1927638_CP933O	34	34	sequences/CP001969_1284563_1331280.fna	sequences/NC_002655.1_1849488_1927638_CP933O.fasta
CP001969_1284563_1331280	NC_002655.1_2116354_2165694_CP933R	33	33	sequences/CP001969_1284563_1331280.fna	sequences/NC_002655.1_2116354_2165694_CP933R.fasta
CP001969_1284563_1331280	NC_002695.1_1161091_1210740_Sp4	34	34	sequences/CP001969_1284563_1331280.fna	sequences/NC_002695.1_1161091_1210740_Sp4.fasta
CP001969_1284563_1331280	NC_002695.1_2668007_2712035_Sp14	33	33	sequences/CP001969_1284563_1331280.fna	sequences/NC_002695.1_2668007_2712035_Sp14.fasta
CP001969_1284563_1331280	NC_002695.1_2895926_2943804_Sp15	33	33	sequences/CP001969_1284563_1331280.fna	sequences/NC_002695.1_2895926_2943804_Sp15.fasta
CP001969_1432810_1479128	CP001969_1284563_1331280	41	41	sequences/CP001969_1432810_1479128.fna	sequences/CP001969_1284563_1331280.fna
CP001969_1432810_1479128	CP001969_2105363_2183106	35	35	sequences/CP001969_1432810_1479128.fna	sequences/CP001969_2105363_2183106.fna
CP001969_1432810_1479128	CP001969_558406_615433	32	32	sequences/CP001969_1432810_1479128.fna	sequences/CP001969_558406_615433.fna
CP001969_1432810_1479128	NC_002655.1_1251828_1295458_CP933M	32	32	sequences/CP001969_1432810_1479128.fna	sequences/NC_002655.1_1251828_1295458_CP933M.fasta
CP001969_1432810_1479128	NC_002655.1_1849488_1927638_CP933O	65	65	sequences/CP001969_1432810_1479128.fna	sequences/NC_002655.1_1849488_1927638_CP933O.fasta
CP001969_1432810_1479128	NC_002655.1_2116354_2165694_CP933R	42	42	sequences/CP001969_1432810_1479128.fna	sequences/NC_002655.1_2116354_2165694_CP933R.fasta
CP001969_1432810_1479128	NC_002655.1_2743223_2788348_CP933U	38	38	sequences/CP001969_1432810_1479128.fna	sequences/NC_002655.1_2743223_2788348_CP933U.fasta
CP001969_1432810_1479128	NC_002695.1_1161091_1210740_Sp4	58	58	sequences/CP001969_1432810_1479128.fna	sequences/NC_002695.1_1161091_1210740_Sp4.fasta
CP001969_1432810_1479128	NC_002695.1_1757506_1815680_Sp9	35	35	sequences/CP001969_1432810_1479128.fna	sequences/NC_002695.1_1757506_1815680_Sp9.fasta
CP001969_1432810_1479128	NC_002695.1_2158174_2203951_Sp11	39	39	sequences/CP001969_1432810_1479128.fna	sequences/NC_002695.1_2158174_2203951_Sp11.fasta
CP001969_1432810_1479128	NC_002695.1_2668007_2712035_Sp14	54	54	sequences/CP001969_1432810_1479128.fna	sequences/NC_002695.1_2668007_2712035_Sp14.fasta
CP001969_2105363_2183106	NC_003143.1_2135545_2171125_HPI-1	40	40	sequences/CP001969_2105363_2183106.fna	sequences/NC_003143.1_2135545_2171125_HPI-1.fasta
CP001969_2105363_2183106	NC_004088.1_2595153_2701942_HPI	41	41	sequences/CP001969_2105363_2183106.fna	sequences/NC_004088.1_2595153_2701942_HPI.fasta
CP001969_558406_615433	NC_002655.1_1702185_1752784_CP933X	37	35	sequences/CP001969_558406_615433.fna	sequences/NC_002655.1_1702185_1752784_CP933X.fasta
CP001969_558406_615433	NC_002695.1_2158174_2203951_Sp11	31	31	sequences/CP001969_558406_615433.fna	sequences/NC_002695.1_2158174_2203951_Sp11.fasta
CP014051.2	FQ312003.1	99	99	sequences/CP014051.2_3003689_3050263.fna	sequences/FQ312003.1_304515_350828.fna
CP014051.2	FQ312003.1	99	99	sequences/CP014051.2_3948576_3965183.fna	sequences/FQ312003.1_304515_350828.fna
CP014051.2	FQ312003.1	99	99	sequences/CP014051.2_4476286_4504838.fna	sequences/FQ312003.1_304515_350828.fna
CP014051.2	FQ312003.1	99	99	sequences/CP014051.2_1175321_1184383.fna	sequences/FQ312003.1_304515_350828.fna
CP014051.2_1175321_1184383	CP014051.2	100	100	sequences/CP014051.2_1175321_1184383.fna	sequences/CP014051.2_3003689_3050263.fna
CP014051.2_1175321_1184383	CP014051.2	100	100	sequences/CP014051.2_1175321_1184383.fna	sequences/CP014051.2_3948576_3965183.fna
CP014051.2_1175321_1184383	CP014051.2	100	100	sequences/CP014051.2_1175321_1184383.fna	sequences/CP014051.2_4476286_4504838.fna
CP014051.2_1175321_1184383	FQ312003.1	100	100	sequences/CP014051.2_1175321_1184383.fna	sequences/FQ312003.1_304515_350828.fna
CP014051.2_1175321_1184383	NC_003198.1_4322993_4349107_SPI4	46	46	sequences/CP014051.2_1175321_1184383.fna	sequences/NC_003198.1_4322993_4349107_SPI4.fasta
CP014051.2_1175321_1184383	SPI5	99	99	sequences/CP014051.2_1175321_1184383.fna	sequences/NC_003198.1_1085337_1092563_SPI5.fasta
CP014051.2_3003689_3050263	CP014051.2	100	100	sequences/CP014051.2_3003689_3050263.fna	sequences/CP014051.2_3948576_3965183.fna
CP014051.2_3003689_3050263	CP014051.2	100	100	sequences/CP014051.2_3003689_3050263.fna	sequences/CP014051.2_4476286_4504838.fna
CP014051.2_3003689_3050263	CP014051.2	100	100	sequences/CP014051.2_3003689_3050263.fna	sequences/CP014051.2_1175321_1184383.fna
CP014051.2_3003689_3050263	FQ312003.1	100	100	sequences/CP014051.2_3003689_3050263.fna	sequences/FQ312003.1_304515_350828.fna
CP014051.2_3003689_3050263	SPI1	99	99	sequences/CP014051.2_3003689_3050263.fna	sequences/NC_003198.1_2859262_2900586_SPI1.fasta
CP014051.2_3003689_3050263	SPI1	99	99	sequences/CP014051.2_3003689_3050263.fna	sequences/NC_003198.1_4683690_4716539_SPI10.fasta
CP014051.2_3948576_3965183	CP014051.2	100	100	sequences/CP014051.2_3948576_3965183.fna	sequences/CP014051.2_3003689_3050263.fna
CP014051.2_3948576_3965183	CP014051.2	100	100	sequences/CP014051.2_3948576_3965183.fna	sequences/CP014051.2_4476286_4504838.fna
CP014051.2_3948576_3965183	CP014051.2	100	100	sequences/CP014051.2_3948576_3965183.fna	sequences/CP014051.2_1175321_1184383.fna
CP014051.2_3948576_3965183	FQ312003.1	100	100	sequences/CP014051.2_3948576_3965183.fna	sequences/FQ312003.1_304515_350828.fna
CP014051.2_4476286_4504838	CP014051.2	100	100	sequences/CP014051.2_4476286_4504838.fna	sequences/CP014051.2_3003689_3050263.fna
CP014051.2_4476286_4504838	CP014051.2	100	100	sequences/CP014051.2_4476286_4504838.fna	sequences/CP014051.2_3948576_3965183.fna
CP014051.2_4476286_4504838	CP014051.2	100	100	sequences/CP014051.2_4476286_4504838.fna	sequences/CP014051.2_1175321_1184383.fna
CP014051.2_4476286_4504838	FQ312003.1	100	100	sequences/CP014051.2_4476286_4504838.fna	sequences/FQ312003.1_304515_350828.fna
CP014979.2_29462_77183	CP014979.2_49192_77125	59	59	sequences/CP014979.2_29462_77183.fna	sequences/CP014979.2_49192_77125.fna
CP014979.2_29462_77183	CP014979.2_50460_69065	39	39	sequences/CP014979.2_29462_77183.fna	sequences/CP014979.2_50460_69065.fna
CP014979.2_29462_77183	CP027410.1_4498049_4518794	41	41	sequences/CP014979.2_29462_77183.fna	sequences/CP027410.1_4498049_4518794.fna
CP014979.2_29462_77183	CP027410.1_4507167_4527049	43	42	sequences/CP014979.2_29462_77183.fna	sequences/CP027410.1_4507167_4527049.fna
CP014979.2_49192_77125	CP014979.2_29462_77183	100	100	sequences/CP014979.2_49192_77125.fna	sequences/CP014979.2_29462_77183.fna
CP014979.2_49192_77125	CP014979.2_50460_69065	67	67	sequences/CP014979.2_49192_77125.fna	sequences/CP014979.2_50460_69065.fna
CP014979.2_49192_77125	CP027410.1_4498049_4518794	70	70	sequences/CP014979.2_49192_77125.fna	sequences/CP027410.1_4498049_4518794.fna
CP014979.2_49192_77125	CP027410.1_4507167_4527049	71	71	sequences/CP014979.2_49192_77125.fna	sequences/CP027410.1_4507167_4527049.fna
CP014979.2_50460_69065	CP014979.2_29462_77183	100	100	sequences/CP014979.2_50460_69065.fna	sequences/CP014979.2_29462_77183.fna
