qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
AY963803.6	AY963803.6	100.000	47132	0	0	1	47132	1	47132	0.0	87037
AY963803.6	AY963803.6	99.811	530	1	0	31579	32108	23635	24164	0.0	974
AY963803.6	AY963803.6	99.811	530	1	0	23635	24164	31579	32108	0.0	974
AY963803.6	AY963803.6	100.000	418	0	0	31166	31583	21661	22078	0.0	773
AY963803.6	AY963803.6	100.000	418	0	0	21661	22078	31166	31583	0.0	773
AY963803.6	AY963803.6	100.000	123	0	0	34402	34524	33492	33370	2.07e-57	228
AY963803.6	AY963803.6	100.000	123	0	0	33370	33492	34524	34402	2.07e-57	228
AY963803.6	AY963803.6	89.262	149	14	1	36489	36637	34378	34524	1.26e-44	185
AY963803.6	AY963803.6	89.262	149	14	1	34378	34524	36489	36637	1.26e-44	185
AY963803.6	AY963803.6	88.618	123	14	0	36515	36637	33492	33370	4.61e-34	150
AY963803.6	AY963803.6	88.618	123	14	0	33370	33492	36637	36515	4.61e-34	150
AY963803.6	AF261825.2	99.326	19747	131	2	1001	20745	1	19747	0.0	35728
AY963803.6	AF261825.2	97.585	8406	191	10	23184	31583	28842	37241	0.0	14388
AY963803.6	AF261825.2	99.898	6894	7	0	36638	43531	19743	26636	0.0	12693
AY963803.6	AF261825.2	99.966	2946	1	0	31579	34524	38753	41698	0.0	5435
AY963803.6	AF261825.2	99.781	1369	1	2	20744	22110	26635	28003	0.0	2510
AY963803.6	AF261825.2	100.000	981	0	0	23184	24164	38302	39282	0.0	1812
AY963803.6	AF261825.2	99.115	904	7	1	43525	44428	41697	42599	0.0	1624
AY963803.6	AF261825.2	98.202	723	11	2	44513	45234	47002	47723	0.0	1262
AY963803.6	AF261825.2	99.811	530	1	0	31579	32108	29293	29822	0.0	974
AY963803.6	AF261825.2	100.000	440	0	0	21661	22100	36824	37263	0.0	813
AY963803.6	AF261825.2	100.000	418	0	0	31166	31583	27552	27969	0.0	773
AY963803.6	AF261825.2	100.000	123	0	0	34402	34524	40666	40544	2.07e-57	228
AY963803.6	AF261825.2	100.000	123	0	0	33370	33492	41698	41576	2.07e-57	228
AY963803.6	AF261825.2	89.262	149	14	1	36489	36637	41552	41698	1.26e-44	185
AY963803.6	AF261825.2	88.618	123	14	0	36515	36637	40666	40544	4.61e-34	150
AY963803.6	MF372716.1	99.203	19693	152	5	1056	20745	1258	20948	0.0	35491
AY963803.6	MF372716.1	99.942	6893	4	0	36638	43530	20944	27836	0.0	12707
AY963803.6	MF372716.1	99.966	2946	1	0	31579	34524	51249	54194	0.0	5435
AY963803.6	MF372716.1	95.118	1905	89	4	20741	22644	48859	50760	0.0	3000
AY963803.6	MF372716.1	99.937	1577	1	0	31579	33155	31004	32580	0.0	2907
AY963803.6	MF372716.1	99.779	1355	3	0	20746	22100	27837	29191	0.0	2486
AY963803.6	MF372716.1	100.000	981	0	0	23184	24164	30553	31533	0.0	1812
AY963803.6	MF372716.1	100.000	981	0	0	23184	24164	50798	51778	0.0	1812
AY963803.6	MF372716.1	99.724	725	2	0	43702	44426	54195	54919	0.0	1328
AY963803.6	MF372716.1	89.394	726	74	3	34525	35250	37237	37959	0.0	911
AY963803.6	MF372716.1	99.282	418	3	0	31166	31583	28752	29169	0.0	756
AY963803.6	MF372716.1	99.282	418	3	0	31166	31583	49778	50195	0.0	756
AY963803.6	MF372716.1	100.000	123	0	0	34402	34524	53162	53040	2.07e-57	228
AY963803.6	MF372716.1	100.000	123	0	0	33370	33492	54194	54072	2.07e-57	228
AY963803.6	MF372716.1	89.262	149	14	1	36489	36637	54048	54194	1.26e-44	185
AY963803.6	MF372716.1	88.618	123	14	0	36515	36637	53162	53040	4.61e-34	150
AY963803.6	AY463797.8	99.381	11628	72	0	9118	20745	7598	19225	0.0	21075
AY963803.6	AY463797.8	99.884	6894	8	0	36638	43531	19221	26114	0.0	12687
AY963803.6	AY463797.8	99.574	6340	26	1	1	6339	1	6340	0.0	11557
AY963803.6	AY463797.8	98.802	3173	38	0	43960	47132	49453	52625	0.0	5650
AY963803.6	AY463797.8	99.779	1357	3	0	20744	22100	26113	27469	0.0	2490
AY963803.6	AY463797.8	99.913	1153	1	0	31579	32731	29341	30493	0.0	2124
AY963803.6	AY463797.8	99.616	1043	4	0	33483	34525	30484	31526	0.0	1905
AY963803.6	AY463797.8	100.000	983	0	0	23182	24164	28888	29870	0.0	1816
AY963803.6	AY463797.8	99.282	418	3	0	31166	31583	27030	27447	0.0	756
AY963803.6	AY463797.8	100.000	123	0	0	33370	33492	31525	31403	2.07e-57	228
