genomic island,type of genomic island,role of the genomic island,base composition (%G+C),strain,strain Genbank sequence ID,genomic island GenBank Sequence ID,size (kb),start,end,source(s),PMID(s),notes,file name,,,
GI-1,,Contains the Tn6162-like transposon which harbours the gene cassettearray aadB-gcuD,,Pseudomonas aeruginosa 24Pae112, NZ_CP029605.1,,68.1,2403928,2472004,"Abril, D., Marquez-Ortiz, R.A., Castro-Cardozo, B. et al. Genome plasticity favours double chromosomal Tn4401b-blaKPC-2 transposon insertion in the Pseudomonas aeruginosa ST235 clone. BMC Microbiol 19, 45 (2019). https://doi.org/10.1186/s12866-019-1418-6",30786858,,NZ_CP029605.1_2403928_2472004.fasta,,,
PAGI-17,,Contains two complete and intact copies of blaKPC-2-harbouring Tn4401 (isoform b) transposons,64.1,Pseudomonas aeruginosa 24Pae112, NZ_CP029605.1,,117,2724254,2841225,"Abril, D., Marquez-Ortiz, R.A., Castro-Cardozo, B. et al. Genome plasticity favours double chromosomal Tn4401b-blaKPC-2 transposon insertion in the Pseudomonas aeruginosa ST235 clone. BMC Microbiol 19, 45 (2019). https://doi.org/10.1186/s12866-019-1418-6",30786858,,NZ_CP029605.1_2724254_2841225.fasta,,,
PAGI-5,,"Related to a large family of pKLC102-related genomic islands prevalent in beta- and gammaproteobacteria, and contains a core set of genes involved in propagation, replication, and partitioning, and variable ,'cargo,' gene cassettes",59.6,Pseudomonas aeruginosa PSE9,,EF611301.1,99.3,1061197,1160497,"Battle SE, Rello J, Hauser AR. Genomic islands of Pseudomonas aeruginosa. FEMS Microbiol Lett. 2009 Jan 290(1):70-8. doi: 10.1111/j.1574-6968.2008.01406.x. Epub 2008 Nov 18. PMID: 19025565 PMCID: PMC2648531; Battle SE, Meyer F, Rello J, Kung VL, Hauser AR. Hybrid pathogenicity island PAGI-5 contributes to the highly virulent phenotype of a Pseudomonas aeruginosa isolate in mammals. J Bacteriol. 2008 190(21):7130-7140. doi:10.1128/JB.00785-08","19025565, 18757543",The end coordinate is an approximations based on the given start coordinate and size.,EF611301.1.fasta,,,
PAGI-6,,Contains many large regions highly similar to a cytotoxin-converting phage (ϕCTX),60.8,Pseudomonas aeruginosa PSE9,,EF611302.1,44.3,5810047,5854347,"Battle SE, Rello J, Hauser AR. Genomic islands of Pseudomonas aeruginosa. FEMS Microbiol Lett. 2009 Jan 290(1):70-8. doi: 10.1111/j.1574-6968.2008.01406.x. Epub 2008 Nov 18. PMID: 19025565 PMCID: PMC2648531.",19025565,The end coordinate is an approximations based on the given start coordinate and size.,EF611302.1.fasta,,,
PAGI-7,,"Contains multiple mobility associated ORFs, predicted transcriptional regulators, and a predicted ptxABCDE operon",55.8,Pseudomonas aeruginosa PSE9,,EF611303.1,22.5,4439857,4462357,"Battle SE, Rello J, Hauser AR. Genomic islands of Pseudomonas aeruginosa. FEMS Microbiol Lett. 2009 Jan 290(1):70-8. doi: 10.1111/j.1574-6968.2008.01406.x. Epub 2008 Nov 18. PMID: 19025565 PMCID: PMC2648531.",19025565,The end coordinate is an approximations based on the given start coordinate and size.,EF611303.1.fasta,,,
PAGI-8,,"Contains 12 ORFs, including one predicted to encode a protein with 69% identity and 78% similarity to the TraY/DotA-like type IV secretion system protein of Cupriavidus metallidurans strain CH34. Other ORFs are similar to an ATPase, and a zinc-binding transcriptional regulator.",54.1,Pseudomonas aeruginosa PSE9,,EF611304.1,16.2,5798636,5814836,"Battle SE, Rello J, Hauser AR. Genomic islands of Pseudomonas aeruginosa. FEMS Microbiol Lett. 2009 Jan 290(1):70-8. doi: 10.1111/j.1574-6968.2008.01406.x. Epub 2008 Nov 18. PMID: 19025565 PMCID: PMC2648531.",19025565,The end coordinate is an approximations based on the given start coordinate and size.,EF611304.1.fasta,,,
PAGI-9,,"Consists of a single very large ORF of 6,672 bp that is similar to the rearrangement hot spot (Rhs) family of genetic elements",61.6,Pseudomonas aeruginosa PSE9,,EF611305.1,7.2,4294706,4301906,"Battle SE, Rello J, Hauser AR. Genomic islands of Pseudomonas aeruginosa. FEMS Microbiol Lett. 2009 Jan 290(1):70-8. doi: 10.1111/j.1574-6968.2008.01406.x. Epub 2008 Nov 18. PMID: 19025565 PMCID: PMC2648531.",19025565,The end coordinate is an approximations based on the given start coordinate and size.,EF611305.1.fasta,,,
PAGI-10,,,52.7,,, EF611306.1,2.2,,,"Battle SE, Rello J, Hauser AR. Genomic islands of Pseudomonas aeruginosa. FEMS Microbiol Lett. 2009 Jan 290(1):70-8. doi: 10.1111/j.1574-6968.2008.01406.x. Epub 2008 Nov 18. PMID: 19025565 PMCID: PMC2648531.",19025565,The end coordinate is an approximations based on the given start coordinate and size.,EF611306.1.fasta,,,
LESGI-6,,"Contains genes that encode a transposase, a type VI secretion system core proteins, a haemolysin co-regulated protein, and a valine-glycine repeat protein G",,Pseudomonas aeruginosa LESB58,NC_011770.1,,12.4,280017,292442,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_280017_292442.fasta,,,
LESGI-7,,Mosaic island that contains genes involved in determining the lipopolysaccharide (LPS) O-antigen serotype,,Pseudomonas aeruginosa LESB58,NC_011770.1,,16.6,2054683,2071280,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_2054683_2071280.fasta,,,
