X14993.1	X14993.1	100	100
A006_1_38124	A006_1_38124	100	100
A006_1_38124	A118_1_40834	29	29
A006_1_38124	A118_1_40834	29	29
A006_1_38124	A118_1_40834	29	29
A006_1_38124	A118_1_40834	29	29
A006_1_38124	A118_1_40834	29	29
A006_1_38124	A118_1_40834	29	29
A006_1_38124	A118_1_40834	29	29
A006_1_38124	B025_1_42653	4	4
A006_1_38124	B025_1_42653	4	4
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	NC_003210.1_2361897_2402366_A118	12	12
A006_1_38124	A500_1_38867	7	7
A006_1_38124	A500_1_38867	7	7
A006_1_38124	A500_1_38867	7	7
A006_1_38124	A500_1_38867	7	7
A006_1_38124	A500_1_38867	7	7
A006_1_38124	A500_1_38867	7	7
A006_1_38124	PSA_1_37618	2	2
A006_1_38124	PSA_1_37618	2	2
A006_1_38124	phiLMC1_681092_714095	6	6
A006_1_38124	phiLMC1_681092_714095	6	6
A006_1_38124	phiLMC1_681092_714095	6	6
A006_1_38124	phiLMC1_681092_714095	6	6
A006_1_38124	phiLMC1_681092_714095	6	6
A118_1_40834	A118_1_40834	100	100
A118_1_40834	A118_1_40834	100	100
A118_1_40834	A118_1_40834	100	100
A118_1_40834	A006_1_38124	27	27
A118_1_40834	A006_1_38124	27	27
A118_1_40834	A006_1_38124	27	27
A118_1_40834	A006_1_38124	27	27
A118_1_40834	A006_1_38124	27	27
A118_1_40834	A006_1_38124	27	27
A118_1_40834	A006_1_38124	27	27
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	NC_003210.1_2361897_2402366_A118	66	66
A118_1_40834	A500_1_38867	45	45
A118_1_40834	A500_1_38867	45	45
A118_1_40834	A500_1_38867	45	45
A118_1_40834	A500_1_38867	45	45
A118_1_40834	A500_1_38867	45	45
A118_1_40834	A500_1_38867	45	45
A118_1_40834	A500_1_38867	45	45
A118_1_40834	A500_1_38867	45	45
A118_1_40834	A500_1_38867	45	45
A118_1_40834	phiLMC1_681092_714095	7	7
A118_1_40834	phiLMC1_681092_714095	7	7
A118_1_40834	phiLMC1_681092_714095	7	7
A118_1_40834	phiLMC1_681092_714095	7	7
A118_1_40834	B025_1_42653	4	4
A118_1_40834	B025_1_42653	4	4
A118_1_40834	B025_1_42653	4	4
A118_1_40834	PSA_1_37618	0	0
A500_1_38867	A500_1_38867	100	100
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
