138 phage	468	350	V. cholerae El Tor	CP-T1	463	345	V. cholerae El Tor	83	83	alignments/350-345.xfma.png
A118 (cGI2)	389	273	L. monocytogenes WSLC1001	A118 (cGI1)	126	118	lismono	66	66	alignments/273-118.xfma.png
A118 (cGI2)	389	273	L. monocytogenes WSLC1001	A500	125	117	L. monocytogenes WSLC1042	45	45	alignments/273-117.xfma.png
A500	125	117	L. monocytogenes WSLC1042	A118 (cGI1)	126	118	lismono	56	56	alignments/117-118.xfma.png
A511	130	122	L. ivanovii WSLC3009	P100	131	123	L. monocytogenes WSLC1001	95	93	alignments/122-123.xfma.png
BcenGI1	141	132	B. cenocepacia J2315	phiK96243/GI2	142	133	B. pseudomallei K96243	35	35	alignments/132-133.xfma.png
CTX phage	110	106	V. cholerae C1, chr1	RTX	447	331	vcho1	100	100	alignments/106-331.xfma.png
fs2 phage	461	343	V. cholerae MDO14	VFJ phage	460	342	V. cholerae ICDC-4470	90	90	alignments/343-342.xfma.png
GI15	161	150	B. pseudomallei K96243	phiK96243/GI2	142	133	B. pseudomallei K96243	66	66	alignments/150-133.xfma.png
KVP40	473	355	V. parahaemolyticus EB101	phi pp2	479	361	V. parahaemolyticus 17802	99	99	alignments/355-361.xfma.png
KVP40	473	355	V. parahaemolyticus EB101	phi Va3	480	362	V. alginolyticus	86	86	alignments/355-362.xfma.png
KVP40	473	355	V. parahaemolyticus EB101	VH7D	475	357	Vibrio strain 7D	86	86	alignments/355-357.xfma.png
KVP40	473	355	V. parahaemolyticus EB101	ValKK3	474	356	V. alginolyticus 17749	84	84	alignments/355-356.xfma.png
KVP40	473	355	V. parahaemolyticus EB101	nt-1	478	360	V. natriegens HER1138	69	69	alignments/355-360.xfma.png
LIPI-1/prfA cluster	113	109	L. monocytogenes EGD	LIPI-1	390	274	lismono	100	100	alignments/109-274.xfma.png
MGIVvuTai1	102	102	V. vulnificus YJ016, chr1	VVI-III	77	79	V. vulnificus YJ016, chr1	99	99	alignments/102-79.xfma.png
CP4-44	349	233	ecoli	SpLE2	364	248	ecoli_O157n	35	35	alignments/233-248.xfma.png
CP4-44	349	233	ecoli	SpLE1	363	247	ecoli_O157n	37	37	alignments/233-247.xfma.png
CP4-44	349	233	ecoli	PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI2)	273	195	Escherichia coli NU14	36	36	alignments/233-195.xfma.png
CP4-44	349	233	ecoli	PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI1)	272	194	Escherichia coli IHE3034/ExPEC	36	36	alignments/233-194.xfma.png
CP4-44	349	233	ecoli	PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI3)	274	196	Escherichia coli UTI89	36	36	alignments/233-196.xfma.png
CAG (cGI1)	387	271	hpyl	CAG (cGI2)	388	272	hpyl99	99	98	alignments/271-272.xfma.png
VPI	446	330	vcho1	VPI-1	458	340	V. cholerae N16961, chr1	99	99	alignments/330-340.xfma.png
CP-933M	353	237	ecoli_O157	Sp4	372	256	ecoli_O157n	62	62	alignments/237-256.xfma.png
CP-933M	353	237	ecoli_O157	Sp12	380	264	ecoli_O157n	71	71	alignments/237-264.xfma.png
CP-933M	353	237	ecoli_O157	CP-933P	361	245	ecoli_O157	79	78	alignments/237-245.xfma.png
CP-933M	353	237	ecoli_O157	Sp10	378	262	ecoli_O157n	64	64	alignments/237-262.xfma.png
CP-933M	353	237	ecoli_O157	Sp9	377	261	ecoli_O157n	67	67	alignments/237-261.xfma.png
CP-933M	353	237	ecoli_O157	CP-933V	352	236	ecoli_O157	52	51	alignments/237-236.xfma.png
CP-933M	353	237	ecoli_O157	Sp6	374	258	ecoli_O157n	53	53	alignments/237-258.xfma.png
CP-933M	353	237	ecoli_O157	CP-933N	351	235	ecoli_O157	50	50	alignments/237-235.xfma.png
CP-933M	353	237	ecoli_O157	CP-933U	354	238	ecoli_O157	46	46	alignments/237-238.xfma.png
